#  l    m   clm               slm
  15    2  -4.5524929009e-13 -5.7435025660e-13
  15    3  -9.6982895852e-13 -1.7980088875e-13
  15    4  -3.7226467669e-13 -1.8977062943e-13
  15    5  -6.4508619543e-13  9.3310209053e-14
  15    6  -6.5942415960e-13  6.6341266400e-13
  15    7  -7.1877604432e-14  1.8415045743e-13
  15    8  -1.4371603966e-13  1.4114377689e-13
  15    9   1.0936506673e-13  1.0176531081e-13
  15   10  -5.8548798417e-14 -7.0970744720e-14
  15   11  -1.7309025159e-14 -1.1990509731e-14
  15   12  -5.4365285159e-14  4.1311837937e-14
  15   13   2.5023759780e-14 -5.6960102021e-14
  15   14   4.8631365857e-14 -2.4988077822e-14
  15   15   2.4833435314e-14 -3.5635037409e-15
  16    0  -2.6453643129e-13 -0.0000000000e+00
  16    1   4.4659309633e-13  5.1989233213e-13
  16    2  -4.9754822612e-13 -1.0288312078e-13
  16    3  -7.3014102457e-13 -9.3833891709e-14
  16    4  -3.6879234610e-13  2.8796635854e-13
  16    5  -8.9851366370e-13  1.1021966809e-13
  16    6  -3.7389350051e-13  5.6359338802e-13
  16    7  -2.2469079920e-14  2.3225862585e-13
  16    8  -2.8949227546e-13  2.2367201735e-14
  16    9  -2.1614161485e-14  2.2255708184e-14
  16   10   4.2875508954e-14 -8.4614126439e-14
  16   11   4.6792885982e-15  2.6672230526e-14
  16   12   7.4771928599e-14 -1.2035920620e-14
  16   13   4.8893856690e-14  4.7345678915e-14
  16   14   5.4025241537e-14 -6.0718157596e-14
  16   15  -4.4532661717e-14  5.9227266136e-15
  16   16  -3.2151344121e-14 -3.3420874182e-14
  17    0  -2.9455197453e-13 -0.0000000000e+00
  17    1  -2.9341313471e-13 -6.8955820723e-13
  17    2  -4.5570105297e-13 -1.7583364117e-13
  17    3  -8.3614123400e-13  7.9269054172e-14
  17    4  -2.2125828988e-13  1.1265999824e-13
  17    5  -3.3314733322e-13  1.4484899973e-13
  17    6  -6.1015805111e-13  7.3264684031e-13
  17    7   1.3065810079e-13  6.7057247929e-14
  17    8  -2.5936710606e-13 -3.9952538268e-14
  17    9  -1.2312354449e-13  1.6226818063e-13
  17   10  -9.4735966334e-15 -7.2854064506e-15
  17   11   7.8012416557e-14 -1.6293446885e-14
  17   12   3.9665815319e-14  7.1013881829e-14
  17   13   2.8548719727e-14  6.9004114901e-14
  17   14   1.3050746048e-14  5.6249328927e-14
  17   15   5.3018045278e-14  4.8034083976e-14
  17   16  -6.3363839351e-14  1.5550060659e-15
  17   17  -2.0117024298e-14 -7.6563712948e-14
  18    0  -3.4203978028e-13 -0.0000000000e+00
  18    1   4.4327496630e-13  6.1913082062e-13
  18    2   1.0305754964e-13  3.5902245512e-13
  18    3  -4.2641358385e-13  1.3687378847e-13
  18    4  -2.0881620959e-14  3.3211236946e-13
  18    5  -4.7264732965e-13 -1.5057385327e-14
  18    6  -2.3304618393e-13  3.0973542996e-13
  18    7  -1.1685254348e-15  2.0042470357e-13
  18    8  -3.6384216647e-13 -1.2107442593e-13
  18    9  -1.2655666537e-13  2.0505287003e-13
  18   10   7.0847474219e-15  7.4373076868e-14
  18   11   5.0521347413e-14 -2.8454345018e-14
  18   12  -3.8934027223e-14 -6.6309428390e-14
  18   13   9.3156581034e-15 -3.4094310638e-14
  18   14  -3.4437538003e-14 -4.7375327887e-14
  18   15  -3.5808975203e-14 -6.2274684322e-14
  18   16  -1.3708514189e-14  4.5927122644e-14
  18   17  -3.5503312247e-14  7.7644349652e-16
  18   18   2.5595591798e-14 -1.6788489463e-14
  19    0  -1.6142686118e-13 -0.0000000000e+00
  19    1  -1.3307911950e-13 -3.6225961582e-13
